,country,mean days to raise loan,sample_size,alpha_shapiro,alpha-ttest,alpha_mannwhitney,p value,size_n,normal,significance
20,iraq,18.03528542448553,Sufficient size,0.01,0.01,0.01,1.753344598314033e-97,Sufficient size,Not normal,Significant
21,bangladesh,5.027654320987654,Insufficient size,0.01,0.01,0.01,,Insufficient size,n/a,n/a
22,israel,9.459281406936597,Sufficient size,0.01,0.01,0.01,0.055533021752784274,Sufficient size,Not normal,Not signifcant
23,ukraine,8.298506512438086,Sufficient size,0.01,0.01,0.01,2.6926488236110434e-168,Sufficient size,Not normal,Significant
24,palestine,14.436172197834953,Sufficient size,0.01,0.01,0.01,5.68121372229704e-117,Sufficient size,Not normal,Significant
25,zambia,9.463066765136018,Sufficient size,0.01,0.01,0.01,1.3195184352494824e-40,Sufficient size,Not normal,Significant
26,tonga,9.118386323376704,Sufficient size,0.01,0.01,0.01,5.238407926735623e-20,Sufficient size,Not normal,Significant
27,togo,9.725762581061721,Sufficient size,0.01,0.01,0.01,2.480435821511249e-232,Sufficient size,Not normal,Significant
28,armenia,20.470117728654223,Sufficient size,0.01,0.01,0.01,0.0,Sufficient size,Not normal,Significant
29,el salvador,18.375557811282306,Sufficient size,0.01,0.01,0.01,0.0,Sufficient size,Not normal,Significant
30,afghanistan,8.028448573010431,Sufficient size,0.01,0.01,0.01,4.394214229155451e-161,Sufficient size,Not normal,Significant
31,mongolia,10.562275638517715,Sufficient size,0.01,0.01,0.01,5.279830549232648e-109,Sufficient size,Not normal,Significant
32,liberia,5.848066732916055,Sufficient size,0.01,0.01,0.01,0.0,Sufficient size,Not normal,Significant
33,kyrgyzstan,18.89852724529167,Sufficient size,0.01,0.01,0.01,0.0,Sufficient size,Not normal,Significant
34,madagascar,9.645645650676512,Sufficient size,0.01,0.01,0.01,1.8902987556698254e-13,Sufficient size,Not normal,Significant
35,peru,10.369852898987107,Sufficient size,0.01,0.01,0.01,0.0,Sufficient size,Not normal,Significant
36,cambodia,10.120237983940873,Sufficient size,0.01,0.01,0.01,0.0,Sufficient size,Not normal,Significant
37,pakistan,15.27758386277156,Sufficient size,0.01,0.01,0.01,0.0,Sufficient size,Not normal,Significant
38,congo,8.101115465109473,Sufficient size,0.01,0.01,0.01,1.1000535531741562e-28,Sufficient size,Not normal,Significant
39,burkina faso,10.032404901060946,Sufficient size,0.01,0.01,0.01,2.6931002055620326e-25,Sufficient size,Not normal,Significant
40,mexico,10.50911712000201,Sufficient size,0.01,0.01,0.01,3.993450927989569e-53,Sufficient size,Not normal,Significant
41,cote d'ivoire,3.5244574499411074,Sufficient size,0.01,0.01,0.01,5.299243433812152e-65,Sufficient size,Not normal,Significant
42,mozambique,14.891809337146087,Sufficient size,0.01,0.01,0.01,9.880036442134574e-110,Sufficient size,Not normal,Significant
43,tajikistan,16.84978866856197,Sufficient size,0.01,0.01,0.01,0.0,Sufficient size,Not normal,Significant
44,mali,15.200509499735393,Sufficient size,0.01,0.01,0.01,3.022813615809627e-172,Sufficient size,Not normal,Significant
45,vanuatu,35.96345196759259,Insufficient size,0.01,0.01,0.01,,Insufficient size,n/a,n/a
46,myanmar (burma),16.85677669680614,Sufficient size,0.01,0.01,0.01,6.489336842005581e-164,Sufficient size,Not normal,Significant
47,canada,5.69259837962963,Insufficient size,0.01,0.01,0.01,,Insufficient size,n/a,n/a
