Country Name,2015,2016,2017,2018,2019,
"Micronesia, Fed. Sts.",1.01591066691019,0.992845348012524,0.977218368892131,0.971031451137351,,
Gabon,332.670104980469,322.608093261719,319.160339355469,326.346198446169,328.437248090499,
United Kingdom,0.805799,0.788601,0.784403,0.740936,0.744332,
Georgia,0.844725966453552,0.859717905521393,0.924675631224921,0.926234121841418,0.953896708761457,
Ghana,1.33917951583862,1.53844666481018,1.75099217891693,1.84271324042456,1.93979181808413,
Gibraltar,,,,,,
Guinea,3131.59936523438,3153.275390625,3213.984375,3445.6281989278,3704.81697713718,
"Gambia, The",13.5701589584351,14.2539978027344,15.1142482757568,15.7159679962264,16.5346232902121,
Guinea-Bissau,236.606185913086,234.409423828125,232.199493408203,227.527381617008,224.028595962688,
Equatorial Guinea,315.780059814453,313.342681884766,304.286590576172,301.040932228147,299.345158917551,
Greece,0.686414,0.660583,0.64994,0.607889,0.606697,
