"Data Source","World Development Indicators",

"Last Updated Date","2021-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Benin","BEN","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","136.878173315041","133.539625804147","180.292576670779","200.735990505798","204.603297836959","206.859714834669","215.417129894559","211.4934135656","213.106661764563","215.506867989612","217.422789613367","215.758471446469","211.969051714755","216.011453918456","217.175431355212","213.892853841643","222.355121822667","225.148090229367","226.405835245701","225.412475585938","226.481079101563","229.217330932617","224.445343017578","221.996673583984","215.950271606445","219.476272583008","216.061713584973","210.272693353192","",
"Burkina Faso","BFA","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","183.740529101844","180.087463566085","171.312918216291","167.322279643901","204.12795881025","213.367687695652","219.931782286037","219.890951255636","227.538901613794","220.278534111548","212.434800014724","216.941200544497","218.20045081905","217.697932611783","211.173040865588","217.345880780263","215.465983939718","209.006781601797","222.735444988022","229.360260729349","223.93479126436","223.072814941406","225.127624511719","222.635604858398","222.627166748047","217.019424438477","204.853576660156","199.74137878418","198.792533143882","188.940792491026","",
"Bangladesh","BGD","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.3265676497413","12.5775574149348","12.6514460386094","12.6592077980763","12.9930977614319","13.940026273543","13.8649875863639","14.2670882283938","15.2294395241654","15.8134524427128","15.6346927298704","15.5101643905169","15.7768252518494","16.3011165380149","17.0806794683496","17.6843059961643","18.2906493590257","19.4028755553083","20.3488943806855","21.5290568009685","22.9030338722383","24.7321186065674","24.4158267974854","25.8751678466797","26.8248519897461","27.8622074127197","28.4720573425293","29.5140819549561","30.4075023434546","31.5363832647238","",
"Bulgaria","BGR","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000592572055083148","0.00249256757187171","0.00462805480224643","0.00777153611956634","0.0148494754592668","0.0234076110299802","0.0464861492604563","0.521087121179885","0.616687093747623","0.621463303256577","0.631328588874384","0.662374891985537","0.662607152424324","0.669311441221217","0.693828354284357","0.71452495864386","0.760271932719073","0.798050153444446","0.84015790177974","0.857157996853269","0.840329051343356","0.811108099921886","0.805855210819411","0.778772905246672","0.74834049017936","0.758367766984236","0.7358720666162","0.749393930324434","0.707619886967713","0.73035265453578","",
"Bahrain","BHR","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.242239846536649","0.234174375322754","0.22689828645039","0.225988510895805","0.222044943459947","0.221825966553189","0.214534368374769","0.214731133580816","0.210673825498786","0.203508395617592","0.195473112662523","0.18780494534913","0.183956685255146","0.182739896687631","0.182162731474462","0.180741727345783","0.178608260046965","0.179309813995352","0.178769156492323","0.184422378087499","0.185006347997523","0.178627267479897","0.173650175333023","0.186130702495575","0.195008054375648","0.201736390590668","0.207624524831772","0.204112082719803","0.203404933247941","0.201793891608197","",
"Bahamas, The","BHS","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.17370725001571","1.20613346163503","1.23785150813685","1.23510099349008","1.22055882607144","1.21179186777551","1.19351964482625","1.17260237873691","1.1701121327935","1.15941982281165","1.13956252452404","1.13090514698514","1.13744599834543","1.14584254071277","1.1269233247071","1.10729189515277","1.09832296296685","1.09447765604472","1.10133358563984","1.12806195822787","1.12477659506522","1.1252338886261","1.07799911499023","1.08933007717133","1.09275841712952","1.12048697471619","1.09965348243713","1.10285294055939","1.10096823139953","1.10831101642726","",
"Bosnia and Herzegovina","BIH","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.876076538704231","0.896624954522764","0.907577273266756","0.930700521878763","0.90620949399594","0.888689873161243","0.870530376699772","0.855863166268894","0.83319498825372","0.826414187607546","0.820607175712971","0.789523088569266","0.797348258110858","0.748251356947009","0.750684375240669","",
"Belarus","BLR","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.80460413741782E-07","3.51483633493166E-06","7.95068393417424E-05","0.00062592560919924","0.000928643557770461","0.00148761789736324","0.00253233198982079","0.00975579353018753","0.025350002197392","0.0397250122734608","0.0557390200052826","0.0699791055188645","0.080496022587983","0.0859039072196607","0.0890422608918584","0.0938678886193068","0.103810500747523","0.117667814942876","0.124724760381041","0.185265585780144","0.283296465873718","0.370848298072815","0.454382628202438","0.523944616317749","0.580304324626923","0.616520941257477","0.631143498989804","0.65461293477609","",
"Belize","BLZ","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.17402327060699","1.15857911109924","1.23758018016815","1.30290544033051","1.35100471973419","1.40484631061554","1.4770028591156","","","",
"Bermuda","BMU","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.8262528181076","1.74795651435852","1.74396002292633","1.70633566379547","1.65733289718628","1.60079455375671","1.57566356658936","","","",
"Bolivia","BOL","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.19282735169145","1.38979648623392","1.51162601371708","1.59350093874712","1.67529165580204","1.79568120411877","1.96131323589418","2.00674900869385","2.12770355711789","2.12710991805958","2.15244697307143","2.12656311513139","2.1127935515523","2.13484037836199","2.17143687077215","2.21345069992986","2.23610396140025","2.36335174938982","2.59476627692737","2.69116728682684","2.71402346927779","2.89102506637573","2.74019336700439","2.78198313713074","2.76964354515076","2.73290395736694","2.66491603851318","2.6119339466095","2.60758618509137","2.60828628090153","",
